LINE 501 : 2020-11-12 15:34:44,858 [INFO    ] Parsing data files for GSEA.............................
LINE 726 : 2020-11-12 15:35:31,757 [DEBUG   ] Writing TrueType font.
LINE 677 : 2020-11-12 15:35:33,014 [DEBUG   ] Assigning font /b'F1' = '/usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf'
LINE 677 : 2020-11-12 15:35:33,210 [DEBUG   ] Assigning font /b'F2' = '/usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Bold.ttf'
LINE 719 : 2020-11-12 15:35:33,211 [DEBUG   ] Embedding font /usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Bold.ttf.
LINE 726 : 2020-11-12 15:35:33,211 [DEBUG   ] Writing TrueType font.
LINE 719 : 2020-11-12 15:35:33,257 [DEBUG   ] Embedding font /usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf.
LINE 726 : 2020-11-12 15:35:33,257 [DEBUG   ] Writing TrueType font.
LINE 677 : 2020-11-12 15:35:34,581 [DEBUG   ] Assigning font /b'F1' = '/usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf'
LINE 677 : 2020-11-12 15:35:34,776 [DEBUG   ] Assigning font /b'F2' = '/usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Bold.ttf'
LINE 719 : 2020-11-12 15:35:34,777 [DEBUG   ] Embedding font /usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Bold.ttf.
LINE 726 : 2020-11-12 15:35:34,777 [DEBUG   ] Writing TrueType font.
LINE 719 : 2020-11-12 15:35:34,819 [DEBUG   ] Embedding font /usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf.
LINE 726 : 2020-11-12 15:35:34,820 [DEBUG   ] Writing TrueType font.
LINE 677 : 2020-11-12 15:35:36,080 [DEBUG   ] Assigning font /b'F1' = '/usr/local/lib/python3.6/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf'
